wire,cabinet,terminal,device,neutral_address,siemens_address,rockwell_address
W6-1,CP-06,X6:1,BLN-601.READY,blanch.READY,%I5.0,Local:6:I.Data[0]
W6-2,CP-06,X6:2,BLN-601.PE,blanch.PE,%I5.1,Local:6:I.Data[1]
W6-3,CP-06,X6:3,BLN-601.OL,blanch.OL,%I5.2,Local:6:I.Data[2]
W6-4,CP-06,X6:4,BLN-601.RUN,blanch.RUN,%Q5.0,Local:6:O.Data[3]
W6-5,CP-06,X6:5,BLN-601.SPEED,blanch.SPEED,%QW74,Local:6:O.Data[4]
W6-6,CP-06,X6:6,BLN-601.TEMP,blanch.TEMP,%IW74,Local:6:I.Data[5]
W7-1,CP-07,X7:1,DRY-701.READY,dry.READY,%I6.0,Local:7:I.Data[0]
W7-2,CP-07,X7:2,DRY-701.PE,dry.PE,%I6.1,Local:7:I.Data[1]
W7-3,CP-07,X7:3,DRY-701.OL,dry.OL,%I6.2,Local:7:I.Data[2]
W7-4,CP-07,X7:4,DRY-701.RUN,dry.RUN,%Q6.0,Local:7:O.Data[3]
W7-5,CP-07,X7:5,DRY-701.SPEED,dry.SPEED,%QW76,Local:7:O.Data[4]
W7-6,CP-07,X7:6,DRY-701.TEMP,dry.TEMP,%IW76,Local:7:I.Data[5]
W8-1,CP-08,X8:1,COT-801.READY,coat.READY,%I7.0,Local:8:I.Data[0]
W8-2,CP-08,X8:2,COT-801.PE,coat.PE,%I7.1,Local:8:I.Data[1]
W8-3,CP-08,X8:3,COT-801.OL,coat.OL,%I7.2,Local:8:I.Data[2]
W8-4,CP-08,X8:4,COT-801.RUN,coat.RUN,%Q7.0,Local:8:O.Data[3]
W8-5,CP-08,X8:5,COT-801.SPEED,coat.SPEED,%QW78,Local:8:O.Data[4]
W8-6,CP-08,X8:6,COT-801.TEMP,coat.TEMP,%IW78,Local:8:I.Data[5]
W9-1,CP-09,X9:1,FRM-851.READY,form.READY,%I8.0,Local:9:I.Data[0]
W9-2,CP-09,X9:2,FRM-851.PE,form.PE,%I8.1,Local:9:I.Data[1]
W9-3,CP-09,X9:3,FRM-851.OL,form.OL,%I8.2,Local:9:I.Data[2]
W9-4,CP-09,X9:4,FRM-851.RUN,form.RUN,%Q8.0,Local:9:O.Data[3]
W9-5,CP-09,X9:5,FRM-851.SPEED,form.SPEED,%QW80,Local:9:O.Data[4]
W9-6,CP-09,X9:6,FRM-851.TEMP,form.TEMP,%IW80,Local:9:I.Data[5]
W10-1,CP-10,X10:1,FRY-901.READY,fry.READY,%I9.0,Local:10:I.Data[0]
W10-2,CP-10,X10:2,FRY-901.PE,fry.PE,%I9.1,Local:10:I.Data[1]
W10-3,CP-10,X10:3,FRY-901.OL,fry.OL,%I9.2,Local:10:I.Data[2]
W10-4,CP-10,X10:4,FRY-901.RUN,fry.RUN,%Q9.0,Local:10:O.Data[3]
W10-5,CP-10,X10:5,FRY-901.SPEED,fry.SPEED,%QW82,Local:10:O.Data[4]
W10-6,CP-10,X10:6,FRY-901.TEMP,fry.TEMP,%IW82,Local:10:I.Data[5]
W11-1,CP-11,X11:1,COL-1001.READY,cool.READY,%I10.0,Local:11:I.Data[0]
W11-2,CP-11,X11:2,COL-1001.PE,cool.PE,%I10.1,Local:11:I.Data[1]
W11-3,CP-11,X11:3,COL-1001.OL,cool.OL,%I10.2,Local:11:I.Data[2]
W11-4,CP-11,X11:4,COL-1001.RUN,cool.RUN,%Q10.0,Local:11:O.Data[3]
W11-5,CP-11,X11:5,COL-1001.SPEED,cool.SPEED,%QW84,Local:11:O.Data[4]
W11-6,CP-11,X11:6,COL-1001.TEMP,cool.TEMP,%IW84,Local:11:I.Data[5]
W12-1,CP-12,X12:1,FRZ-1101.READY,freeze.READY,%I11.0,Local:12:I.Data[0]
W12-2,CP-12,X12:2,FRZ-1101.PE,freeze.PE,%I11.1,Local:12:I.Data[1]
W12-3,CP-12,X12:3,FRZ-1101.OL,freeze.OL,%I11.2,Local:12:I.Data[2]
W12-4,CP-12,X12:4,FRZ-1101.RUN,freeze.RUN,%Q11.0,Local:12:O.Data[3]
W12-5,CP-12,X12:5,FRZ-1101.SPEED,freeze.SPEED,%QW86,Local:12:O.Data[4]
W12-6,CP-12,X12:6,FRZ-1101.TEMP,freeze.TEMP,%IW86,Local:12:I.Data[5]
W13-1,CP-13,X13:1,XRY-1201.READY,inspect.READY,%I12.0,Local:13:I.Data[0]
W13-2,CP-13,X13:2,XRY-1201.PE,inspect.PE,%I12.1,Local:13:I.Data[1]
W13-3,CP-13,X13:3,XRY-1201.OL,inspect.OL,%I12.2,Local:13:I.Data[2]
W13-4,CP-13,X13:4,XRY-1201.RUN,inspect.RUN,%Q12.0,Local:13:O.Data[3]
W13-5,CP-13,X13:5,XRY-1201.SPEED,inspect.SPEED,%QW88,Local:13:O.Data[4]
W13-6,CP-13,X13:6,XRY-1201.TEMP,inspect.TEMP,%IW88,Local:13:I.Data[5]
W14-1,CP-14,X14:1,PKG-1301.READY,pack.READY,%I13.0,Local:14:I.Data[0]
W14-2,CP-14,X14:2,PKG-1301.PE,pack.PE,%I13.1,Local:14:I.Data[1]
W14-3,CP-14,X14:3,PKG-1301.OL,pack.OL,%I13.2,Local:14:I.Data[2]
W14-4,CP-14,X14:4,PKG-1301.RUN,pack.RUN,%Q13.0,Local:14:O.Data[3]
W14-5,CP-14,X14:5,PKG-1301.SPEED,pack.SPEED,%QW90,Local:14:O.Data[4]
W14-6,CP-14,X14:6,PKG-1301.TEMP,pack.TEMP,%IW90,Local:14:I.Data[5]
W15-1,CP-15,X15:1,PAL-1401.READY,pallet.READY,%I14.0,Local:15:I.Data[0]
W15-2,CP-15,X15:2,PAL-1401.PE,pallet.PE,%I14.1,Local:15:I.Data[1]
W15-3,CP-15,X15:3,PAL-1401.OL,pallet.OL,%I14.2,Local:15:I.Data[2]
W15-4,CP-15,X15:4,PAL-1401.RUN,pallet.RUN,%Q14.0,Local:15:O.Data[3]
W15-5,CP-15,X15:5,PAL-1401.SPEED,pallet.SPEED,%QW92,Local:15:O.Data[4]
W15-6,CP-15,X15:6,PAL-1401.TEMP,pallet.TEMP,%IW92,Local:15:I.Data[5]
